fpl_name,understat_name,abbr
Arsenal,,ARS
Aston Villa,,AVL
Bournemouth,,BOU
Brentford,,BRE
Brighton,,BHA
Burnley,,BUR
Cardiff,,CAR
Chelsea,,CHE
Crystal Palace,,CRY
Everton,,EVE
Fulham,,FUL
Huddersfield,,HUD
Hull,,HUL
Leicester,,LEI
Leeds,,LEE
Liverpool,,LIV
Man City,Manchester City,MCI
Man Utd,Manchester United,MUN
Middlesbrough,,MID
Newcastle,Newcastle United,NEW
Norwich,,NOR
Nott'm Forest,Nottingham Forest,NFO
Sheffield Utd,Sheffield United,SHU
Southampton,,SOU
Spurs,Tottenham,TOT
Stoke,,STO
Sunderland,,SUN
Swansea,,SWA
Watford,,WAT
West Brom,West Bromwich Albion,WBA
West Ham,,WHU
Wolves,Wolverhampton Wanderers,WOL